,filename,biomarker,channel_index,fifth_pct,cv_background,snr,dynamic_range,flag
1,LSP12022-B1.ome.tif,control488nm,1,305.0,0.028131020599317283,448.51364206708575,3922.8099999999977,OK
2,LSP12022-B1.ome.tif,control555nm,2,110.0,0.04005568642428976,213.4601120770833,974.0,WARNING: narrow dynamic range → CLAHE or normalization
3,LSP12022-B1.ome.tif,control647nm,3,445.0,0.018690233652101353,245.03093814561873,2070.0,OK
4,LSP12022-B1.ome.tif,dna(2),4,79.0,0.16246888299519152,2317.7920314202192,35056.0,OK
5,LSP12022-B1.ome.tif,RNApol2-pS2,5,983.0,0.02254956395710635,417.29130250926346,9445.809999999998,OK
6,LSP12022-B1.ome.tif,pERK,6,407.0,0.08044700261923707,260.70209667996755,9158.809999999998,OK
7,LSP12022-B1.ome.tif,p53,7,538.0,0.11742259859792757,300.9352955413697,21351.23999999999,OK
8,LSP12022-B1.ome.tif,dna(3),8,68.0,0.1479494481072828,3036.6773119751338,35572.81,OK
9,LSP12022-B1.ome.tif,Ki67,9,437.0,0.050715784109664486,154.69674740437878,3605.0,OK
10,LSP12022-B1.ome.tif,panCK,10,156.0,0.20122668809774952,1272.4617643450363,51705.23999999999,OK
11,LSP12022-B1.ome.tif,CD45,11,2212.0,0.0032888812345845796,447.83371984277744,3266.0,WARNING: uniform background → rolling ball subtraction
12,LSP12022-B1.ome.tif,dna(4),12,101.0,0.14494736202212827,2599.3074480063833,44098.0,OK
13,LSP12022-B1.ome.tif,Ecad,13,874.0,0.02995492629463828,222.40306373557186,6005.0,OK
14,LSP12022-B1.ome.tif,aSMA,22,291.0,0.1070520198864729,1333.2762692019628,46076.0,OK
15,LSP12022-B1.ome.tif,Vim,15,154.0,0.13800275188401256,1587.6058881961444,37916.619999999995,OK
16,LSP12022-B1.ome.tif,dna(5),16,80.0,0.14863306933878154,2874.499294204656,39231.0,OK
17,LSP12022-B1.ome.tif,EGFR,17,687.0,0.021599485930347672,622.9795871407206,9445.0,OK
18,LSP12022-B1.ome.tif,pRb,18,151.0,0.09041047591306844,80.51222150424992,1207.0,WARNING: narrow dynamic range → CLAHE or normalization
19,LSP12022-B1.ome.tif,p21,19,1844.0,0.004990377395070438,129.75393175545088,1199.0,WARNING: uniform background → rolling ball subtraction
20,LSP12022-B1.ome.tif,dna(6),20,80.0,0.15748675318105834,2568.834530453948,38019.81,OK
21,LSP12022-B1.ome.tif,CD20,21,519.0,0.061887903501181854,52.11855933975478,1788.0,WARNING: narrow dynamic range → CLAHE or normalization
22,LSP12022-B1.ome.tif,PD1,23,2240.0,0.006371609373325015,99.89129763811367,1434.0,WARNING: uniform background → rolling ball subtraction
23,LSP12022-B1.ome.tif,dna(7),24,77.0,0.180719630800732,2541.8572228129665,42598.619999999995,OK
24,LSP12022-B1.ome.tif,PCNA,25,484.0,0.17655585276555621,88.02040917644574,9135.0,OK
25,LSP12022-B1.ome.tif,ER,26,68.0,0.14115976376130512,287.22429421908373,3187.8099999999977,OK
26,LSP12022-B1.ome.tif,HER2,27,2227.0,0.009806669132753304,168.17769282135177,3707.0,WARNING: uniform background → rolling ball subtraction
27,LSP12022-B1.ome.tif,dna(8),28,71.0,0.1678424995638889,2631.968245567898,36786.04999999999,OK
28,LSP12022-B1.ome.tif,CK1-4,29,325.0,0.08655580858996409,403.07534930811846,12348.23999999999,OK
29,LSP12022-B1.ome.tif,CK19,30,355.0,0.14489900774631737,717.1998753648517,42527.42999999999,OK
30,LSP12022-B1.ome.tif,CK17,31,661.0,0.05635898905172414,323.91100035104137,12722.439999999944,OK
31,LSP12022-B1.ome.tif,dna(9),32,96.0,0.12126857214178205,2728.009170603678,35632.619999999995,OK
32,LSP12022-B1.ome.tif,LamAC,33,774.0,0.01542837108637868,665.8239150869042,8037.0,OK
33,LSP12022-B1.ome.tif,AR,34,371.0,0.0376318623858113,95.08617885089686,1374.0,WARNING: narrow dynamic range → CLAHE or normalization
34,LSP12022-B1.ome.tif,gH2AX,35,1225.0,0.0040144679418344644,149.2429832413905,736.0,WARNING: uniform background → rolling ball subtraction
35,LSP12022-B1.ome.tif,dna(10),36,87.0,0.11955899907830901,3023.131939195899,36401.81,OK
36,LSP12022-B1.ome.tif,PR,37,1030.0,0.011693007518887548,226.68940455557967,2752.0,WARNING: uniform background → rolling ball subtraction
